family_id	family_label	product_id	product_label	image_id	image_path
1936	EasyHOME HYGRO	2199	EasyHOME HYGRO Premium	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_001.eps
1936	EasyHOME HYGRO	10767	EasyHOME HYGRO COMPACT Premium SP	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Produit_003.eps
1936	EasyHOME HYGRO	10767	EasyHOME HYGRO COMPACT Premium SP	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Produit_004.eps
1936	EasyHOME HYGRO	10769	EasyHOME HYGRO Premium SP	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_001.eps
1936	EasyHOME HYGRO	10769	EasyHOME HYGRO Premium SP	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_002.eps
2079	Extracteurs / ventilateurs de conduit	2291	MONO	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Mono\Mono_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2183	DECO	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Deco\Deco_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2183	DECO	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Deco\Deco_Produit_002.eps
2079	Extracteurs / ventilateurs de conduit	2187	DESIGN	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Design\Design_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2187	DESIGN	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Design\Design-P_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2245	IN LINE	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2247	IN LINE XS	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine-XS_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2246	IN LINE XPro	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine-XPro_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2246	IN LINE XPro	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine-XPro_Mecanisme_001.eps
2079	Extracteurs / ventilateurs de conduit	2248	IN LINE XSilent	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine-XSilent_Produit_001.eps
2064	Caissons d'extraction en collectif	2204	EasyVEC® C4 Micro-watt + 5000 à 12000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-MW-Plus\EasyVEC-C4MWPlus-4000_Produit_002.eps
2064	Caissons d'extraction en collectif	2204	EasyVEC® C4 Micro-watt + 5000 à 12000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Telecommande_Produit_001.eps
2064	Caissons d'extraction en collectif	2203	EasyVEC® C4 Micro-watt 5000 à 12000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-MW-Plus\EasyVEC-C4MWPlus-4000_Produit_002.eps
2064	Caissons d'extraction en collectif	2203	EasyVEC® C4 Micro-watt 5000 à 12000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC\EasyVEC-Telecommande_Produit_001.eps
2064	Caissons d'extraction en collectif	7511	EasyVEC® C4 Standard 400 à 2500	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-STD\EasyVEC-C4Standard-2500_Produit_001.eps
2064	Caissons d'extraction en collectif	7511	EasyVEC® C4 Standard 400 à 2500	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-STD\EasyVEC-C4Standard-400_Produit_001.eps
2064	Caissons d'extraction en collectif	2205	EasyVEC® C4 Standard 4000 à 12000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-STD\EasyVEC-C4Standard-4000_Produit_002.eps
2064	Caissons d'extraction en collectif	2205	EasyVEC® C4 Standard 4000 à 12000	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-STD\EasyVEC-C4Standard_Mecanisme_001.eps
2064	Caissons d'extraction en collectif	10783	EasyVEC® C4 PRO 400 à 4000	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\06-Ventilation_Simple_Flux_Centralisee\02-Caissons_Centrales_SF\EasyVEC-C4\EasyVEC-C4-400-700\EasyVEC-C4-PRO-400_Produit_001.eps
