Famille-ID	Product-ID	Reference-ID	Image-ID	Image-Path
161729	163399	164701	267321	#N/A
161729	264429	264431	267321	#N/A
161729	264430	264432	267321	#N/A
161730	163400	164132	267321	#N/A
161730	163401	164133	267321	#N/A
161730	163402	164147	267321	#N/A
161730	163403	164148	267321	#N/A
161730	163404	164149	267321	#N/A
161730	163405	164150	267321	#N/A
161730	163406	164153	267321	#N/A
161730	163407	164154	267321	#N/A
161730	163408	164155	267321	#N/A
161730	163409	164156	267321	#N/A
161730	163410	164157	267321	#N/A
161730	163411	164158	267321	#N/A
161730	163412	164315	267321	#N/A
161730	163412	266492	267321	#N/A
161730	163413	164316	267321	#N/A
161730	163414	164341	267321	#N/A
161730	163415	164362	266846	Articles\Image\07640160162588_PIECE_01.jpg
161730	163416	164363	266849	Articles\Image\07640160162595_PIECE_01.jpg
161730	163417	164364	266851	Articles\Image\07640160162601_PIECE_01.jpg
161730	163418	164365	267321	#N/A
161730	163419	164366	267321	#N/A
161730	163420	164367	267278	Articles\Image\CHUV_893094_01.jpg
161730	163421	164368	266854	Articles\Image\07640160163394_PIECE_01.jpg
161730	163422	164369	266857	Articles\Image\07640160163400_PIECE_01.jpg
161730	163423	164370	267321	#N/A
161730	163424	164371	267321	#N/A
161730	163425	164699	267321	#N/A
161730	163426	164700	267321	#N/A
161730	163427	164702	267321	#N/A
161730	163428	164703	267321	#N/A
161730	163429	164704	267321	#N/A
161730	163430	164705	267321	#N/A
161730	163431	164706	267321	#N/A
161730	163432	164707	267321	#N/A
161730	163433	164776	267321	#N/A
161730	163434	164777	267321	#N/A
161730	163434	267561		
161730	163435	164778	267321	#N/A
161730	163435	267560		
161730	163436	164779	267321	#N/A
161730	163436	267559		
161730	163437	164780	267321	#N/A
161730	163437	267558		
161730	185093	185335	267321	#N/A
161730	185094	185357	267321	#N/A
161730	185094	263853	267321	#N/A
161730	189856	191802	267321	#N/A
161730	189857	191851	267321	#N/A
161730	189858	191852	267321	#N/A
161730	189859	191853	267321	#N/A
161730	189860	191854	267321	#N/A
161730	189861	191855	267321	#N/A
161730	189862	191859	267321	#N/A
161730	189863	191860	267321	#N/A
161730	189864	191861	267321	#N/A
161730	189865	191876	267321	#N/A
161730	189866	191951	267321	#N/A
161730	189867	192115	267321	#N/A
161730	189867	263854	267321	#N/A
161730	189868	192119	267321	#N/A
161730	189868	263845	267321	#N/A
161730	189869	192120	267321	#N/A
161730	189869	263846	266717	Articles\Image\04042809007596_PIECE_01.jpg
161730	189870	192258	267321	#N/A
161730	189871	192356	267321	#N/A
161730	189872	192362	267321	#N/A
161730	189873	192363	267321	#N/A
161730	189874	192471	267321	#N/A
161730	189875	192472	267321	#N/A
161730	189876	192502	267321	#N/A
161730	189877	192686	267321	#N/A
161730	189878	192708	267321	#N/A
161730	189879	192709	267321	#N/A
161730	189880	192710	267236	Articles\Image\CHUV_124072_01.jpg
161730	189881	192714	267301	Articles\Image\CHUV_939060_01.jpg
161730	189882	192715	267321	#N/A
161730	189885	192718	267321	#N/A
161730	189886	192719	267302	Articles\Image\CHUV_939062_01.jpg
161730	189887	192766	267321	#N/A
161730	189888	193004	267321	#N/A
161730	189889	193005	267321	#N/A
161730	189890	193025	267321	#N/A
161730	189891	193026	267321	#N/A
161730	189892	193027	267321	#N/A
161730	189893	193028	267321	#N/A
161730	189894	193029	267321	#N/A
161730	189895	193030	267321	#N/A
161730	189896	193032	267321	#N/A
161730	189897	193432	267321	#N/A
161730	248936	249081	267291	Articles\Image\CHUV_936499_01.jpg
161730	248937	249085	267321	#N/A
161730	249340	249307	267321	#N/A
161730	249341	249309	267321	#N/A
161730	249429	249403	267321	#N/A
161730	249430	249405	267321	#N/A
161730	249713	249729	267321	#N/A
161730	256602	256603	267321	#N/A
161730	256604	256605	267321	#N/A
161730	256606	256607	267321	#N/A
161730	266186	266197	267321	#N/A
161730	266187	266198	267321	#N/A
161730	266188	266199	267321	#N/A
161730	266189	266200	267321	#N/A
161730	266190	266201	267321	#N/A
161730	266191	266202	267321	#N/A
161730	266192	266203	267321	#N/A
161730	266193	266204	267321	#N/A
161730	266194	266205	267321	#N/A
161730	266195	266206	267321	#N/A
161730	266196	266207	267321	#N/A
161730	266507	266508	267321	#N/A
161731	189811	193031	267321	#N/A
161731	189812	193033	267321	#N/A
161731	189813	193034	267321	#N/A
161731	194182	194226	267321	#N/A
161731	194183	194227	267321	#N/A
161731	194184	194228	267321	#N/A
161733	189814	193381	267321	#N/A
161736	194185	194174	267321	#N/A
161736	189816	192018	267321	#N/A
161736	189817	192410	267321	#N/A
161736	189818	193113	267321	#N/A
161740	163438	164146	267321	#N/A
161740	184551	184573	267321	#N/A
161741	189819	191829	267321	#N/A
161741	189820	192679	267321	#N/A
161741	189821	192680	267321	#N/A
161741	189822	192681	267321	#N/A
161742	163439	164128	267321	#N/A
161742	189823	193062	267321	#N/A
161742	248157	248250	267321	#N/A
161743	163440	164546	267321	#N/A
161743	163441	164626	267321	#N/A
161743	163442	164645	267321	#N/A
161743	163443	164646	267321	#N/A
161743	189824	193061	267321	#N/A
161743	189825	193133	267321	#N/A
161743	249431	249425	267321	#N/A
161744	163444	164713	267321	#N/A
161744	189826	191869	267321	#N/A
161744	189827	191870	267321	#N/A
161744	189828	191871	267321	#N/A
161744	189829	193063	267321	#N/A
161745	163356	164500	267321	#N/A
161745	163357	164501	267321	#N/A
161745	185095	185435	267321	#N/A
161745	185095	264312	267321	#N/A
161745	189830	192129	267321	#N/A
161745	189831	192649	267321	#N/A
161745	189831	263686	267321	#N/A
161745	189833	192738	267321	#N/A
161745	248158	248221	267321	#N/A
161745	249484	249501	267321	#N/A
161745	265378	265379	267321	#N/A
161745	265401	265402	267321	#N/A
161746	189916	193007	267321	#N/A
161747	163358	164496	267321	#N/A
161747	163359	164497	267321	#N/A
161747	163360	164498	267321	#N/A
161749	189835	193114	267321	#N/A
161750	185096	185484	267321	#N/A
161750	185575	185578	267321	#N/A
161750	189836	192069	267321	#N/A
161750	189837	192070	267321	#N/A
161750	189838	192310	267321	#N/A
161750	189839	192398	267321	#N/A
161750	249342	249337	267321	#N/A
161750	249432	249421	267321	#N/A
161750	249691	249701	267321	#N/A
161750	249692	249702	267321	#N/A
161750	249693	249705	267321	#N/A
161750	249694	249706	267321	#N/A
161750	249695	249707	267321	#N/A
161750	249696	249709	267321	#N/A
161750	264695	264696	267321	#N/A
161750	265418	265419	267321	#N/A
161750	266537	266538	267321	#N/A
161750	267475	267477		
161752	163361	164714	267321	#N/A
161752	163362	164715	267321	#N/A
161752	163363	164716	267321	#N/A
161753	163364	164712	267321	#N/A
161753	185097	185327	267321	#N/A
161753	189841	192387	267321	#N/A
161753	248412	249267	267321	#N/A
161753	248938	249145	267321	#N/A
161753	249343	249303	267321	#N/A
161753	249344	249304	267321	#N/A
161753	263543	263545	267321	#N/A
161753	264723	264727	267321	#N/A
161753	264724	264728	267321	#N/A
161753	264725	264729	267321	#N/A
161753	264726	264730	267321	#N/A
161753	264793	264795	267321	#N/A
161753	264794	264796	267321	#N/A
161753	267440	267441		
161753	267445	267447		
161753	267446	267448		
161754	163365	164350	267321	#N/A
161754	163366	164595	267321	#N/A
161754	163367	164625	267321	#N/A
161754	163368	164825	267321	#N/A
161754	163368	267350		
161754	189843	192822	267321	#N/A
161754	189844	193008	267321	#N/A
161754	189845	193009	267321	#N/A
161754	249433	249420	267321	#N/A
161756	163369	164627	267321	#N/A
161756	163370	164628	266991	Articles\Image\10884521713178_PIECE_01.jpg
161756	163371	164629	266993	Articles\Image\10884521713291_PIECE_01.jpg
161756	163372	164630	267013	Articles\Image\10884524000961_PIECE_01.jpg
161756	189846	192311	267321	#N/A
161758	189847	192298	267321	#N/A
161759	189848	192297	267321	#N/A
161764	189849	192299	267321	#N/A
161764	189850	193003	267321	#N/A
161767	163373	164152	267321	#N/A
161767	163374	164344	267321	#N/A
161767	163375	164711	267321	#N/A
161767	185098	185387	267321	#N/A
161767	189852	192252	267321	#N/A
161767	189852	266470	267321	#N/A
161767	189853	193049	267321	#N/A
161767	189854	193151	267321	#N/A
161767	189854	263917	267321	#N/A
161767	189855	193512	267321	#N/A
161767	265142	265144	267321	#N/A
161767	265142	265654	267321	#N/A
161767	265254	265255	267321	#N/A
161768	265303	265304	267321	#N/A
161768	163376	164342	267321	#N/A
161768	163376	264292	267321	#N/A
161768	163377	164343	267321	#N/A
161768	163378	164345	267321	#N/A
161768	163379	164346	267321	#N/A
161768	163380	164359	267321	#N/A
161768	163381	164581	267321	#N/A
161768	163382	164582	267321	#N/A
161768	163383	164656	267321	#N/A
161768	163384	164657	267321	#N/A
161768	163386	164850	267321	#N/A
161768	163387	164851	267321	#N/A
161768	185099	185385	267321	#N/A
161768	185100	185386	267321	#N/A
161768	189901	192250	267321	#N/A
161768	189902	192267	267321	#N/A
161768	189903	192269	267321	#N/A
161768	189904	192349	267321	#N/A
161768	189904	264033	267321	#N/A
161768	189905	192350	267321	#N/A
161768	189906	192431	267321	#N/A
161768	189907	192663	267321	#N/A
161768	189907	264097	267321	#N/A
161768	189908	192909	267321	#N/A
161768	189909	192914	267321	#N/A
161768	189910	193088	267321	#N/A
161768	189911	193089	267321	#N/A
161768	189912	193433	267321	#N/A
161768	189913	193532	267321	#N/A
161768	189914	193689	267321	#N/A
161768	248494	249274	267321	#N/A
161768	248495	249275	267321	#N/A
161768	248496	249276	267321	#N/A
161768	248939	249112	267321	#N/A
161768	248940	249120	267279	Articles\Image\CHUV_895579_01.jpg
161768	248941	249121	267321	#N/A
161768	248942	249122	267280	Articles\Image\CHUV_895583_01.jpg
161768	248943	249123	267281	Articles\Image\CHUV_895584_01.jpg
161768	248944	249124	266795	Articles\Image\07630035513010_PIECE_01.jpg
161768	248945	249125	266794	Articles\Image\07630035511764_PIECE_01.jpg
161768	248946	249126	267321	#N/A
161768	248947	249127	267321	#N/A
161768	248948	249229	267321	#N/A
161768	249434	249406	267321	#N/A
161768	249435	249407	267321	#N/A
161768	264670	264676	267321	#N/A
161768	265176	265177	267321	#N/A
161768	265184	265185	267321	#N/A
161768	265214	265215	267321	#N/A
161768	265394	265395	267321	#N/A
161768	265493	265494	267321	#N/A
161768	266184	266185	267321	#N/A
161768	267489	267490		
161768	267556	267557		
161769	163388	164798	267321	#N/A
161769	184552	184585	267321	#N/A
161769	189915	192351	267321	#N/A
161769	189917	193130	267321	#N/A
161769	189918	193131	267321	#N/A
161769	189919	193134	267321	#N/A
161769	189920	193441	267321	#N/A
161769	189921	267317	267321	#N/A
161769	189921	193454		
161769	189922	193516	267321	#N/A
161769	267610	267612		
161769	267611	267613		
161769	267650	267651		
161770	163389	164670	267321	#N/A
161770	189923	192173	267321	#N/A
161770	189924	193132	267321	#N/A
161770	189925	193400	267321	#N/A
161770	189925	264098	267321	#N/A
161770	266550	266551	267321	#N/A
161770	266550	266626	267321	#N/A
161770	266550	267381		
161771	189927	192785	267321	#N/A
161773	189928	192370	267321	#N/A
161774	163390	164204	267321	#N/A
161774	163391	164387	267321	#N/A
161775	163392	164177	267321	#N/A
161775	163393	164208	267321	#N/A
161775	163394	164384	267321	#N/A
161775	163395	164389	267321	#N/A
161775	189929	191993	267321	#N/A
161775	189930	191994	267321	#N/A
161775	189931	192027	267321	#N/A
161775	189932	192028	267321	#N/A
161775	248949	249156	267321	#N/A
161777	163396	164209	267321	#N/A
161777	163397	164210	267321	#N/A
161777	189934	192036	267321	#N/A
161777	189935	192340	267321	#N/A
161777	189936	192346	267321	#N/A
161777	189937	192347	267321	#N/A
161777	189938	192348	267321	#N/A
161778	189939	192373	267321	#N/A
161781	189940	193074	267321	#N/A
161781	189941	193075	267321	#N/A
